RT_Demand,DayOfWeek,HourOfDay
486.83,6.0,0.0
461.11,6.0,1.0
446.31,6.0,2.0
437.77,6.0,3.0
436.28,6.0,4.0
440.74,6.0,5.0
454.26,6.0,6.0
465.03,6.0,7.0
452.13,6.0,8.0
405.77,6.0,9.0
346.03,6.0,10.0
315.21,6.0,11.0
268.27,6.0,12.0
334.86,6.0,13.0
370.31,6.0,14.0
423.98,6.0,15.0
475.75,6.0,16.0
477.35,6.0,17.0
524.47,6.0,18.0
535.25,6.0,19.0
551.68,6.0,20.0
545.77,6.0,21.0
518.09,6.0,22.0
490.54,6.0,23.0
455.99,0.0,0.0
432.94,0.0,1.0
418.97,0.0,2.0
412.23,0.0,3.0
411.28,0.0,4.0
420.71,0.0,5.0
448.22,0.0,6.0
490.3,0.0,7.0
531.72,0.0,8.0
566.26,0.0,9.0
576.69,0.0,10.0
588.33,0.0,11.0
583.85,0.0,12.0
567.3,0.0,13.0
559.41,0.0,14.0
551.61,0.0,15.0
573.68,0.0,16.0
586.45,0.0,17.0
593.67,0.0,18.0
603.72,0.0,19.0
596.3,0.0,20.0
567.85,0.0,21.0
538.0,0.0,22.0
504.62,0.0,23.0
470.89,1.0,0.0
447.33,1.0,1.0
438.06,1.0,2.0
433.01,1.0,3.0
436.05,1.0,4.0
448.1,1.0,5.0
473.75,1.0,6.0
511.81,1.0,7.0
525.08,1.0,8.0
516.61,1.0,9.0
475.05,1.0,10.0
390.46,1.0,11.0
325.61,1.0,12.0
301.62,1.0,13.0
297.48,1.0,14.0
313.55,1.0,15.0
367.4,1.0,16.0
415.74,1.0,17.0
492.25,1.0,18.0
554.87,1.0,19.0
589.49,1.0,20.0
582.29,1.0,21.0
555.38,1.0,22.0
521.38,1.0,23.0
484.97,2.0,0.0
461.38,2.0,1.0
446.67,2.0,2.0
437.04,2.0,3.0
437.45,2.0,4.0
448.18,2.0,5.0
476.12,2.0,6.0
512.08,2.0,7.0
508.24,2.0,8.0
433.12,2.0,9.0
358.04,2.0,10.0
333.47,2.0,11.0
345.36,2.0,12.0
345.53,2.0,13.0
352.9,2.0,14.0
352.51,2.0,15.0
373.38,2.0,16.0
416.74,2.0,17.0
498.03,2.0,18.0
554.86,2.0,19.0
589.75,2.0,20.0
585.98,2.0,21.0
566.37,2.0,22.0
532.06,2.0,23.0
492.6,3.0,0.0
466.88,3.0,1.0
452.86,3.0,2.0
446.15,3.0,3.0
443.86,3.0,4.0
455.16,3.0,5.0
482.88,3.0,6.0
523.56,3.0,7.0
525.77,3.0,8.0
480.57,3.0,9.0
446.78,3.0,10.0
438.03,3.0,11.0
414.56,3.0,12.0
395.81,3.0,13.0
374.59,3.0,14.0
366.33,3.0,15.0
383.57,3.0,16.0
433.35,3.0,17.0
503.32,3.0,18.0
568.95,3.0,19.0
600.37,3.0,20.0
600.55,3.0,21.0
578.96,3.0,22.0
543.69,3.0,23.0
506.81,4.0,0.0
478.62,4.0,1.0
468.33,4.0,2.0
459.25,4.0,3.0
459.14,4.0,4.0
468.91,4.0,5.0
495.36,4.0,6.0
530.6,4.0,7.0
525.27,4.0,8.0
467.64,4.0,9.0
431.25,4.0,10.0
433.75,4.0,11.0
413.24,4.0,12.0
403.66,4.0,13.0
379.68,4.0,14.0
385.55,4.0,15.0
411.07,4.0,16.0
458.34,4.0,17.0
520.48,4.0,18.0
567.51,4.0,19.0
589.36,4.0,20.0
580.57,4.0,21.0
559.75,4.0,22.0
527.81,4.0,23.0
491.22,5.0,0.0
463.66,5.0,1.0
449.52,5.0,2.0
437.96,5.0,3.0
436.33,5.0,4.0
443.11,5.0,5.0
458.92,5.0,6.0
479.27,5.0,7.0
488.99,5.0,8.0
479.49,5.0,9.0
429.84,5.0,10.0
408.47,5.0,11.0
411.91,5.0,12.0
394.33,5.0,13.0
