,pred,truth
291,503.99356,438.88
292,544.1149,462.46
293,573.05475,467.67
294,558.1723,481.56
295,597.3098,482.73
296,608.4873,506.8
297,576.21643,557.15
298,515.1091,616.4
299,585.87384,656.38
300,616.4525,667.74
301,598.2958,661.37
302,578.71747,655.38
303,571.20374,613.61
304,499.62085,562.64
305,465.7609,523.25
306,445.17267,500.21
307,452.91776,484.76
308,447.21637,476.15
309,443.56927,478.18
310,468.14462,482.67
311,496.8421,486.19
312,517.28284,486.36
313,447.0553,480.91
314,415.85846,501.54
315,434.27664,524.19
316,492.16962,533.41
317,519.12646,520.4
318,505.12836,490.1
319,514.7021,453.57
320,511.00085,441.18
321,495.15448,480.99
322,558.35974,560.49
323,592.264,611.1
324,591.44556,631.48
325,591.18524,631.57
326,589.63727,623.91
327,578.03186,591.4
328,516.5867,544.13
329,476.38843,512.01
330,441.0408,493.88
331,437.64923,481.26
332,434.21198,473.53
333,432.89014,475.89
334,438.62213,478.1
335,459.43625,479.91
336,501.7592,471.17
337,449.0655,466.69
338,481.52264,471.08
339,520.70654,476.72
340,540.48737,488.1
341,525.5586,508.4
342,432.15488,544.75
343,489.96423,568.9
344,516.46704,559.64
345,518.21375,577.28
346,486.34653,616.77
347,560.66986,649.69
348,577.3089,669.17
349,596.2331,671.16
350,584.33905,660.47
351,551.59906,620.6
352,521.25305,573.17
353,479.98547,539.95
354,449.7084,521.63
355,437.02518,508.03
356,437.2908,505.38
357,466.35846,512.29
358,492.9351,537.84
359,506.9811,580.93
360,524.217,618.57
361,549.36145,630.56
362,470.3338,624.84
363,456.4999,630.29
364,462.28586,628.64
365,422.55917,615.43
366,395.9635,620.43
367,454.29657,611.23
368,533.367,604.43
369,548.46747,623.41
370,532.353,653.38
371,621.28906,662.34
372,646.14,668.29
373,651.261,659.21
374,653.76324,644.55
375,631.6214,604.91
376,584.0439,557.19
377,549.34814,527.68
378,473.72934,509.06
379,479.34296,496.29
380,532.65515,489.95
381,525.2575,493.62
382,502.92993,522.17
383,539.40063,557.14
384,572.5116,594.67
385,557.66437,599.65
386,535.92896,571.88
387,486.1261,547.89
388,487.4713,528.91
389,491.35126,530.1
390,504.6501,544.29
391,568.99725,589.02
392,553.216,613.46
393,529.1508,652.69
394,588.11444,663.74
395,663.4214,670.55
396,666.2185,664.32
397,666.3237,660.13
398,659.54034,653.52
