,pred,truth
0,431.9497020249032,389.57
1,434.8257900762108,355.7
2,416.9216753772327,349.13
3,447.902355006725,370.76
4,415.51448778426385,398.36
5,379.70428043437994,398.01
6,398.58200400468627,380.34
7,398.53006889365895,386.32
8,396.55663552739617,395.92
9,440.8802248505043,416.09
10,516.7965774879847,454.54
11,539.164074564329,504.76
12,567.2338324919465,539.64
13,562.2535734010374,551.43
14,564.2251531174223,548.71
15,519.6865569806139,512.61
16,468.81310821093757,470.01
17,445.02885102672883,443.24
18,427.6050939608441,429.11
19,427.88355969510974,422.58
20,428.0792353707854,420.07
21,432.9739344869471,427.57
22,443.95839507163737,451.36
23,458.2709142543366,482.78
24,437.1998731340017,481.61
25,432.0804853972269,432.81
26,447.4911739502189,364.73
27,454.9299071828953,348.81
28,475.88681177393494,370.79
29,453.2718138572683,392.66
30,430.5788534137667,377.99
31,429.1805828020646,371.73
32,452.01352229306383,388.41
33,460.9202823362933,424.1
34,509.28410869351745,483.88
35,558.9923790073195,550.53
36,574.5588069210091,586.79
37,573.6488069210092,593.27
38,567.1021655484602,586.67
39,533.8918493441962,543.02
40,480.7226352474707,493.33
41,461.90428025833387,461.33
42,451.6087364733277,443.59
43,436.59341690364056,434.91
44,437.9737814682051,431.71
45,455.3513450145175,440.78
46,460.5019131897675,462.35
47,491.2496254073765,488.03
48,497.17732014089904,480.41
49,469.0923655866935,429.15
50,429.18286834358196,374.59
51,437.80141288842805,345.64
52,449.6480973568159,339.42
53,430.99774341649817,337.11
54,431.34496216649814,342.2
55,383.59302145827024,348.56
56,417.5609894983286,379.54
57,456.6859689820696,437.26
58,504.01653419382785,516.2
59,571.0094469210092,596.57
60,587.3299164197579,636.25
61,591.5411200361101,636.42
62,608.4082091646294,628.46
63,575.0519032841145,580.91
64,478.9309876991116,525.74
65,460.0913086365946,489.02
66,461.5871946015069,468.94
67,463.1397375688407,456.55
68,463.1397375688407,450.73
69,460.2309515389235,456.6
70,469.498110158648,478.37
71,495.18544710104777,507.04
72,495.18544710104777,502.48
73,470.5469168584712,457.42
74,397.3266488577653,409.36
75,395.01528535464627,384.79
76,367.27235696989663,384.28
77,367.27235696989663,390.54
78,357.330143111201,401.38
79,369.83503912671534,417.08
80,428.90834516050836,445.88
81,460.5511597085482,506.65
82,540.4386539043311,581.82
83,583.8704621413733,658.16
84,603.1969155727459,693.35
85,599.7529610732138,676.28
86,584.5479907118591,671.86
87,580.9690795424483,627.96
88,494.3822301177549,567.63
89,470.5929821084819,520.38
90,470.0256559512354,496.58
91,460.5511597085482,480.15
92,467.56385073271395,471.94
93,468.5513691419941,477.64
94,494.23870608439404,497.57
95,494.70244486015145,527.85
96,495.00776584568905,527.79
97,470.5469168584712,491.53
98,460.42710122434676,451.56
99,404.4835543232954,432.86
100,397.3637368235213,434.26
101,416.7425479346324,441.51
102,455.34384227325637,458.63
103,466.5655905840672,475.18
104,456.10648902156726,510.65
105,490.7349422231997,568.69
106,572.0667788236581,635.6
107,622.6165189530276,707.32
108,667.2366845936908,726.93
109,649.6226992239664,722.71
110,616.5091633078803,719.43
111,588.5646354357276,682.08
112,512.0481884510882,619.92
113,478.9155935712706,575.0
114,480.39945388302124,550.28
115,487.4121449071869,529.74
116,482.5571815737033,521.0
117,494.23870608439404,526.2
118,507.00239576871735,543.41
119,511.281075369145,577.39
120,516.747829620642,593.05
121,507.09460809758093,568.96
122,477.63248993610904,529.61
123,462.3939854864337,518.91
124,473.4487415839946,519.85
